id,board,agency,title,primary,secondary,ei_reason,labeler
70cee6b77da8,BKCB6,Small Business Services,Other expense budget request for SBS,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
e2931a7e208c,BKCB6,NYC Housing Authority,Other housing support requests,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
5cb2ef826f9a,BKCB6,Department of Parks & Recreation,Other park maintenance and safety requests,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
9ae52e53f4a6,BKCB6,Department of Parks & Recreation,Other park maintenance and safety requests,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
debb0981de52,BKCB6,Dept. of Health & Mental Hygiene,Other programs to address public health issues requests,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
5623ff6f11eb,BKCB6,Dept. of Health & Mental Hygiene,Other programs to address public health issues requests,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
254635912ac2,BKCB6,Dept. of Health & Mental Hygiene,Other programs to address public health issues requests,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
e8e9188d9dda,BKCB6,NYC Housing Authority,Other public housing upgrades or renovations requests,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
897b0e924821,BKCB6,Department of Transportation,Other traffic improvement requests,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
610d3340bb77,BKCB6,MTA / NYC Transit,Other transit infrastructure requests,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
7821af7176c1,BKCB6,Department of Transportation,Other transportation infrastructure requests,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
e8345130242c,BKCB6,Department of Transportation,Other transportation infrastructure requests,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
ef9e3c38c0bd,BKCB6,Department of Transportation,Other transportation infrastructure requests,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
75c9e9e80854,BKCB6,Small Business Services,Other workforce development requests,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
19cf47a1c16f,BKCB6,School Construction Authority,Provide a new or expand an existing middle/intermediate school,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
c9e47024a6c0,BKCB6,NYC Health + Hospitals,Provide a new or expanded health care facility,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
36e489107fdd,BKCB6,Department of Parks & Recreation,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
78a2d54bce14,BKCB6,Department of Parks & Recreation,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
9ddf3368ac7a,BKCB6,Office of Management & Budget,Provide more community board staff,Engagement and Inclusion,,"community board's own staffing, equipment and office budget","claude-sonnet, rubric.md, 2026-09-23"
4f8e41978bd1,BKCB6,Department of Sanitation,Provide more frequent garbage or recycling pick-up for schools and institutions,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
566cf5660d62,BKCB6,Housing Preservation & Development,"Provide more housing for special needs households, such as the formerly homeless",Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
3b2d42fa9237,BKCB6,Department of Parks & Recreation,Provide more programs in parks or recreational centers,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
46fd6243fab6,BKCB6,Department of Sanitation,Provide new or upgrade existing sanitation garages or other sanitation infrastructure,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
e19dc86c1328,BKCB6,Small Business Services,Provide or expand occupational skills training programs,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
7800f31a9825,BKCB6,Department of Education,"Provide, expand, or enhance funding for Child Care and Head Start programs",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
7dc0a0051439,BKCB6,Department of Parks & Recreation,Reconstruct or upgrade a building in a park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
fb9a457f4bdc,BKCB6,Department of Transportation,Reconstruct streets,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
0ba1364798c9,BKCB6,Department of Transportation,Reconstruct streets,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
6a193b419812,BKCB6,Department of Transportation,Reconstruct streets,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
47bf0318a272,BKCB6,Department of Transportation,Reconstruct streets,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
66cffea17086,BKCB6,Department of Transportation,Reconstruct streets,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
e8ba8d9c6397,BKCB6,Department of Transportation,Rehabilitate bridges,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
517d11ffc740,BKCB6,NYC Housing Authority,Renovate or upgrade NYCHA community facilities or open space,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
f1d612e6d56c,BKCB6,NYC Housing Authority,Renovate or upgrade NYCHA community facilities or open space,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
d5d7a4aad348,BKCB6,School Construction Authority,Renovate other site component,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
451bc94aee1c,BKCB6,Department of Citywide Administrative Services,"Renovate, upgrade or provide new community board facilities and equipment",City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
1b41ea20d506,BKCB6,Department of Transportation,"Repair or construct sidewalks, curbs, or pedestrian ramps",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
12af2a709ab6,BKCB6,MTA / NYC Transit,Repair or upgrade subway stations or other transit infrastructure,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
4dd2ff83f397,BKCB6,Department of Transportation,"Roadway maintenance (resurfacing, trench restoration, etc.)",City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
bc2e89ad36fc,BKCB7,Department of Transportation,Bike traffic signals,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
c8c8d5e50ec7,BKCB7,Department of Environmental Protection,Clean catch basins,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
67b7d93af3fc,BKCB7,Department of Transportation,Conduct traffic or parking studies,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
cb0e07d34e6f,BKCB7,Brooklyn Public Library,"Create a new, or renovate or upgrade an existing public library",City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a642713a9747,BKCB7,Police Department,D 75,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
3841cf9f658d,BKCB7,MTA / NYC Transit,Expand bus service frequency or hours of operation,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
72ff6642285f,BKCB7,Department of Transportation,Greenway,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
22d140fb1551,BKCB7,Police Department,Hire additional crossing guards,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
bc8ac862ea29,BKCB7,Department of Parks & Recreation,Improve access to a building in a park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
d8c0e3bf835e,BKCB7,Department of Parks & Recreation,"Improve access to a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
eeaa1c4fa825,BKCB7,MTA / NYC Transit,"Improve accessibility of transit infrastructure, by providing elevators, escalators, etc.",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
cd090fb9d9d8,BKCB7,Department of Transportation,"Improve traffic and pedestrian safety, including traffic calming",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
d9bae33de917,BKCB7,Department of Transportation,"Improve traffic and pedestrian safety, including traffic calming",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
009929ba03ba,BKCB7,Department of Transportation,"Improve traffic and pedestrian safety, including traffic calming",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
2ff4a07a7676,BKCB7,Economic Development Corporation,Invest in capital projects to improve access to waterfront,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
c370f94887fd,BKCB7,Economic Development Corporation,Invest in capital projects to improve access to waterfront,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
3f552adfb8a1,BKCB7,Economic Development Corporation,Invest in capital projects to improve access to waterfront,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
f55d42b1a1f1,BKCB7,Brooklyn Public Library,Library hours,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
307accb305b4,BKCB7,Department of Sanitation,Other,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
96cc07bb24ae,BKCB7,Police Department,Other NYPD programs requests,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
0ecdf876ff65,BKCB7,Police Department,Other NYPD programs requests,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
1a30fc076742,BKCB7,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a6e503fd86b7,BKCB7,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
2a65bdebee54,BKCB7,Department of Environmental Protection,Other capital budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
92736dfa5b4a,BKCB7,Department of Education,Other capital budget request for DOE,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
60a6d22dfcde,BKCB7,MTA / NYC Transit,Other capital budget request for NYCTA,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
331c578592ed,BKCB7,Department of Sanitation,Other cleaning requests,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
e9c6dcb9f451,BKCB7,Office of Management & Budget,Other community board facilities and staff requests,Engagement and Inclusion,,community board operations budget funding request,"claude-sonnet, rubric.md, 2026-09-23"
f47e172f7a89,BKCB7,Department of Education,Other educational programs requests,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
dde3619204cb,BKCB7,Department of Environmental Protection,Other expense budget request for DEP,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
49a2c62fb0ef,BKCB7,Department of Parks & Recreation,Other park maintenance and safety requests,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
e6f09527084f,BKCB7,Department of Homeless Services,Other request for services for the homeless,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
e07cf39f6269,BKCB7,Department of Parks & Recreation,Park garbage trucks,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
8267d5608b34,BKCB7,School Construction Authority,Provide a new or expand an existing elementary school,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
5109665ba5ce,BKCB7,Department of Parks & Recreation,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
01bf721127ab,BKCB7,Department of Sanitation,Provide more frequent litter basket collection,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a581ba8ef4b8,BKCB7,Department of Sanitation,Provide new or upgrade existing sanitation garages or other sanitation infrastructure,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a9b02f209606,BKCB7,Small Business Services,Provide or expand occupational skills training programs,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
dad3b386ce55,BKCB7,Youth & Community Development,"Provide, expand, or enhance Cornerstone and Beacon programs (all ages, including",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
6393ce3510e4,BKCB7,Youth & Community Development,"Provide, expand, or enhance adult literacy programs services",Engagement and Inclusion,,adult ESOL and English-language literacy programs,"claude-sonnet, rubric.md, 2026-09-23"
200f072234cc,BKCB7,Youth & Community Development,"Provide, expand, or enhance after school programs for elementary school students",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
615817671f14,BKCB7,Administration for Children's Services,"Provide, expand, or enhance child welfare preventive services",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
181010b1cbb0,BKCB7,Administration for Children's Services,"Provide, expand, or enhance primary prevention services to strengthen families",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
470c661b7793,BKCB7,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
609a8ef31c1c,BKCB7,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
aae1c7149268,BKCB7,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
db08dcbabddc,BKCB7,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
6413bb9cb222,BKCB7,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
4475fda2f22c,BKCB7,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
8a9823a6a330,BKCB7,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
6757dff9c65a,BKCB7,Department of Transportation,Reconstruct streets,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
6237845b81b5,BKCB7,Department of Transportation,Reconstruct streets,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
3801e45c7510,BKCB7,Department of Transportation,Reconstruct streets,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a8233670d3ce,BKCB7,School Construction Authority,Renovate interior building component,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
19b397ca6bb9,BKCB7,Department of Citywide Administrative Services,"Renovate, upgrade or provide new community board facilities and equipment",Engagement and Inclusion,,board's own hybrid meeting technology equipment,"claude-sonnet, rubric.md, 2026-09-23"
d50c921dbbef,BKCB7,Department of Citywide Administrative Services,"Renovate, upgrade or provide new community board facilities and equipment",Engagement and Inclusion,,renovating the community board's own office building,"claude-sonnet, rubric.md, 2026-09-23"
01bf3a634256,BKCB7,Department of Transportation,"Repair or construct sidewalks, curbs, or pedestrian ramps",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
c909501678e9,BKCB7,Department of Transportation,Repair or provide new street lights,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
ba40d93599a7,BKCB7,MTA / NYC Transit,Repair or upgrade subway stations or other transit infrastructure,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
85be1e74854e,BKCB7,MTA / NYC Transit,Repair or upgrade subway stations or other transit infrastructure,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
e091728c874d,BKCB7,Department of Parks & Recreation,SP volleyball,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
747943c1cb00,BKCB7,Small Business Services,Support non-profit organizational development and capacity building,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
b2ea6812beca,BKCB7,Department for the Aging,air tags,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
1fd3e71035ab,BKCB7,Department of Environmental Protection,noise,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
dc6500650887,BKCB8,Department for the Aging,AI training for older adults,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
6d9e15e118c7,BKCB8,Dept. of Health & Mental Hygiene,Animal and pest control requests including reducing rat and mosquito populations,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
e7123331fa3f,BKCB8,Department of Parks & Recreation,Brower Park Futsal,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
ffd2f76c9f6c,BKCB8,Department of Parks & Recreation,Brower Park Lights (Basketball),Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
a14eb9654b3d,BKCB8,Department of Parks & Recreation,Brower Park Pathways,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
52f4a6c5e75f,BKCB8,Department of Parks & Recreation,Brower Park Restroom,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
b5bab0e3ffe2,BKCB8,Department of Transportation,Central Brooklyn Street Mobility and Parks Access,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
c750d3a49e4f,BKCB8,Department of Environmental Protection,Clean catch basins,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
e37d2a146193,BKCB8,Youth & Community Development,"Coding, Gaming, AI",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
28b26d263cde,BKCB8,Department for the Aging,Continue Crime Prevention/Victim Assistance Program for Seniors,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
c02e9570d1df,BKCB8,Dept. of Health & Mental Hygiene,Create or promote programs to de-stigmatize mental health needs and encourage,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a182b7558d02,BKCB8,Department for the Aging,Create programs for Senior Vitality and Active Engagement programs,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
b4747bfeb7b8,BKCB8,Department of Parks & Recreation,Croquet Field in Prospect Park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
425286dbefac,BKCB8,Department of Parks & Recreation,Dean Street Playground Lights,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
5dd20f891f5b,BKCB8,Department of Parks & Recreation,Dog run/park,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
de17b5a5b5d4,BKCB8,Small Business Services,Educational Campaigns for Commercial Waste Zones,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
65222fbeb844,BKCB8,Housing Preservation & Development,Employ more people in Eviction Prevention and Assistance unit,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
7c71d31acfeb,BKCB8,Department for the Aging,Enhance home care services,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
412913f6214a,BKCB8,Department of Parks & Recreation,Enhance park safety through more security staff (police or parks enforcement),Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
4c96653a1bf7,BKCB8,Department for the Aging,Enhance programs for elder abuse victims,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
e10b7b0d115f,BKCB8,MTA / NYC Transit,Expand bus service frequency or hours of operation,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
4986edd56d4a,BKCB8,Fire Department,Expand funding for fire prevention and life safety initiatives,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
79954066d24f,BKCB8,Department of Homeless Services,Expand street outreach,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
b9a18e474727,BKCB8,Brooklyn Public Library,Extend library hours or expand and enhance library programs,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
57260dbcc373,BKCB8,Department for the Aging,Financial education programs,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a7dcc27c0e20,BKCB8,Department for the Aging,Financial programs for senior homeowners,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
090ed83cd201,BKCB8,Department of Parks & Recreation,Fix sprinkler at Brower Park Playground,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
00296f8c5f65,BKCB8,Department of Parks & Recreation,"Forestry services, including street tree maintenance",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
a4eed7543012,BKCB8,Department of Environmental Protection,Funding for lead testing and remediation,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
444145fc2148,BKCB8,Youth & Community Development,"Gaming, Coding, AI",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
f0cde347c71c,BKCB8,Brooklyn Public Library,Greater funding for book and digital library purchases,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
25d65b122b6f,BKCB8,Police Department,Hire additional crossing guards,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
6d800b5f2a3e,BKCB8,Police Department,Hire additional traffic enforcement agents,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
5e557320461d,BKCB8,Department of Transportation,"Improve mobility options, including bike share and car share",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
78f882fe8b77,BKCB8,Department of Transportation,"Improve traffic and pedestrian safety, including traffic calming",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
9b0c764d50f7,BKCB8,Department of Transportation,"Improve traffic and pedestrian safety, including traffic calming",Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
2879d3121383,BKCB8,Department of Parks & Recreation,Improve trash removal and cleanliness,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
0b345f7ca1c6,BKCB8,Office of Management & Budget,Increase budgets for Community Boards,Engagement and Inclusion,,community board's own operating budget and staffing,"claude-sonnet, rubric.md, 2026-09-23"
9b0a87bf5b23,BKCB8,NYC Housing Authority,Increase energy efficiency and environmental performance of NYCHA developments,Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
0fe2212922b5,BKCB8,Department of Sanitation,Increase enforcement of alternate street parking cleaning rules,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
7082e3bdda46,BKCB8,Department of Sanitation,Increase enforcement of canine waste laws,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
5b7e1086cdcb,BKCB8,Youth & Community Development,Increase resources for youth crime prevention programs,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
ccc3c6a21f93,BKCB8,Department for the Aging,Increase transportation services capacity,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
461061851035,BKCB8,Department of Parks & Recreation,Lincoln Terrace Park Ballfield,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
07e999536a12,BKCB8,Department of Parks & Recreation,Lincoln Terrace Park Restroom (Playground),Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
9727708c5369,BKCB8,Police Department,Make 77th Precinct ADA compliant,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
90b32ae0f335,BKCB8,Department of Parks & Recreation,Mount Prospect Park Fences and Curbs,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
d0393fa6074e,BKCB8,Department of Parks & Recreation,Mount Prospect Park Playground,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
fe618837ea0f,BKCB8,Department of Parks & Recreation,New equipment for maintenance,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
fb220510ae6f,BKCB8,Department of Parks & Recreation,Other park maintenance and safety requests,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
5b08263969e9,BKCB8,Dept. of Health & Mental Hygiene,Other programs to address public health issues requests,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
97be5c6587d6,BKCB8,MTA / NYC Transit,Other transit infrastructure requests,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
47368b5fa54e,BKCB8,School Construction Authority,PS 138 Cooling System,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
a3de18bfe047,BKCB8,School Construction Authority,PS 138 Hydroponics Lab,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
3c7289637c9b,BKCB8,School Construction Authority,PS138 School Library,Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
d94518e35a4d,BKCB8,Department of Transportation,Pacific Street Bike Lane,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
061bbc981213,BKCB8,MTA / NYC Transit,Provide a new bus service or Select Bus Service,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
4816b3730986,BKCB8,Housing Preservation & Development,"Provide more housing for special needs households, such as the formerly homeless",Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
50e229214fea,BKCB8,Dept. of Health & Mental Hygiene,"Provide more information and services related to STIs, HIV/AIDS, and family planning",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
4103bb31e4c0,BKCB8,Department of Sanitation,Provide more on-street trash cans and recycling containers,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
2c85c6ee9119,BKCB8,Department of Sanitation,Provide or expand community composting programs,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
fa28d15674cf,BKCB8,Youth & Community Development,"Provide, expand, or enhance adolescent literacy programs and services",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
04b579981d26,BKCB8,Human Resources Administration,"Provide, expand, or enhance adult protective services",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
4930ff6f323b,BKCB8,Administration for Children's Services,"Provide, expand, or enhance funding to support higher education and/or workforce",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
eb2a493f0e55,BKCB8,Administration for Children's Services,"Provide, expand, or enhance housing assistance for youth that are leaving foster care",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
c8525ea006fb,BKCB8,Housing Preservation & Development,"Provide, expand, or enhance loan programs to rehabilitate multiple dwelling buildings",Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
03681ae11df3,BKCB8,Housing Preservation & Development,"Provide, expand, or enhance programs for housing inspections to correct code violations",Land Use,,,"claude-sonnet, rubric.md, 2026-09-23"
2f6b1c47c034,BKCB8,Youth & Community Development,"Provide, expand, or enhance skills training and employment services for high school",Health and Human Services,,,"claude-sonnet, rubric.md, 2026-09-23"
0a98dcd491b3,BKCB8,Department of Parks & Recreation,Reconstruct Dean Street Playground,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
39e210de6914,BKCB8,Department of Transportation,Reconstruct St. Johns Place,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
de27143c4787,BKCB8,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
eb50dbc09c89,BKCB8,Department of Parks & Recreation,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
d35ae3c7e192,BKCB8,Department of Cultural Affairs,Renovate or upgrade an existing cultural facility,Arts and Culture,,,"claude-sonnet, rubric.md, 2026-09-23"
781e6ccb3622,BKCB8,Department of Citywide Administrative Services,"Renovate, upgrade or provide new community board facilities and equipment",Engagement and Inclusion,,acquiring the board's own office and meeting space,"claude-sonnet, rubric.md, 2026-09-23"
95da3d08f107,BKCB8,MTA / NYC Transit,Repair or upgrade subway stations or other transit infrastructure,Transportation,,,"claude-sonnet, rubric.md, 2026-09-23"
610ad7bd6876,BKCB8,Department of Parks & Recreation,St. John's Park Multi-Sport Field,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
39fa7d885e31,BKCB8,Department of Parks & Recreation,St. John's Park ballfield,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
65a3c687603c,BKCB8,Department of Parks & Recreation,St. John's Recreation Center,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
c932a29e0668,BKCB8,Department of Cultural Affairs,Support nonprofit cultural organizations,Arts and Culture,,,"claude-sonnet, rubric.md, 2026-09-23"
387310d49a79,BKCB8,Department of Parks & Recreation,Underhill Playground,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
2934082fd5ff,BKCB8,Department of Parks & Recreation,Underhill Playground comfort station,Parks and Environment,,,"claude-sonnet, rubric.md, 2026-09-23"
ec4d778c8151,BKCB8,Fire Department,Upgrade Women's Bathrooms and Facilities,City Services,,,"claude-sonnet, rubric.md, 2026-09-23"
d936684cd64a,BKCB8,Department of Cultural Affairs,VRF system for Weeksville,Arts and Culture,,,"claude-sonnet, rubric.md, 2026-09-23"
